gender,date,racer_id,anon_category,anon_age,anon_time,anon_place
Male,2024-10-20,80cedf8a34,Every,40.0,395.6392454848509,16.0
Male,2024-10-20,dd363d9a88,Every,30.0,401.242255499496,18.0
Male,2024-11-03,089af96b8c,Every,26.0,380.82156470206576,1.0
Male,2024-11-03,739d7f16a8,Every,33.0,388.918347429296,1.0
Male,2024-11-03,9cd9826a97,Every,30.0,393.04333852256855,2.0
Male,2024-11-03,80cedf8a34,Every,42.0,394.63538264761297,5.0
Male,2024-11-03,2179966d27,Every,39.0,394.63070984518674,5.0
Male,2024-11-03,75e4d0c324,Every,33.0,395.4181719410801,8.0
Male,2024-11-03,15dc1a73f2,Every,27.0,401.3193893005689,8.0
Male,2024-11-03,f3998d5b25,Every,38.0,416.0475498891322,8.0
Male,2024-11-17,06e954a325,Every,14.0,389.06776553212376,1.0
Male,2024-11-17,e8e92cb32b,Every,16.0,391.07851723321534,4.0
Male,2024-11-17,ae0f11a810,Every,25.0,401.07020189707885,3.0
Male,2024-11-17,07aa347382,Every,34.0,405.46188402974144,3.0
Male,2024-11-17,5bf9fc8e29,Every,15.0,407.5983215407189,4.0
Male,2024-11-17,0afb4275d1,Every,14.0,406.82863326467645,4.0
Male,2024-11-17,b2a6aacf62,Every,40.0,410.511809154249,5.0
Male,2024-11-17,3703f81c44,Every,18.0,409.6114909190608,10.0
Male,2024-11-17,7a35e05bb4,Every,31.0,407.8747690252936,9.0
Male,2024-11-17,724cfcdde9,Every,23.0,410.8088971617224,10.0
Male,2024-11-17,cae3512ed5,Every,44.0,413.96204239820605,11.0
Male,2024-11-17,17dbac73bf,Every,35.0,415.05732058745883,11.0
Male,2024-11-17,97a06cc7f2,Every,41.0,419.89694140058555,15.0
Male,2024-11-17,9cd9826a97,Every,29.0,422.02490571468184,14.0
Male,2024-11-17,419369585d,Every,13.0,424.8799470643518,15.0
Male,2024-11-17,c91b46ff08,Every,29.0,430.7650790132739,18.0
Male,2024-11-17,ef5cfb9e2f,Every,15.0,433.77930599337117,18.0
Male,2024-11-17,80cedf8a34,Every,41.0,431.51208853299437,16.0
Male,2024-11-17,3840eae63d,Every,35.0,430.7031748265652,18.0
Male,2024-11-17,144dede425,Every,35.0,434.5534191212329,18.0
Male,2024-11-17,15dc1a73f2,Every,30.0,434.6528363145964,21.0
Male,2024-11-17,357a7d0b68,Every,30.0,432.8656619957474,23.0
Male,2024-11-17,3d273fa34e,Every,30.0,436.9759308004389,24.0
Male,2024-11-17,329a347a27,Every,37.0,433.68618067126465,25.0
Male,2024-11-17,31cee98aa4,Every,41.0,437.33490850283295,27.0
Male,2024-11-17,2179966d27,Every,37.0,441.43499304318823,28.0
Male,2024-11-17,5cc2f41912,Every,32.0,438.72993740727156,27.0
Male,2024-11-17,dd363d9a88,Every,32.0,448.66447733104854,30.0
Male,2024-11-17,574ecb516d,Every,18.0,445.7249659870561,28.0
Male,2024-11-17,0252f4a473,Every,15.0,468.28993611767015,29.0
Male,2024-11-17,089af96b8c,Every,21.0,399.3489330966919,31.0
Male,2024-11-17,7fd267c92d,Every,53.0,552.3372261515275,31.0
Male,2023-09-10,203e54ad61,Meet,51.0,541.2215185775052,2.0
Male,2023-09-10,332fcbea15,Meet,50.0,556.9426205597016,1.0
Male,2023-09-10,a1013caf3a,Meet,46.0,559.2903740593426,4.0
Male,2023-09-10,68e106a8a9,Meet,50.0,559.4575229085893,2.0
Male,2023-09-10,ccb871ad98,Meet,42.0,560.4061441051571,4.0
Male,2023-09-10,3323edf69c,Meet,47.0,572.9273718465705,7.0
Male,2023-09-10,853a7d2934,Meet,52.0,593.0209937608348,6.0
Male,2023-09-10,90b32ed2ba,Meet,46.0,589.0395784049776,8.0
Male,2023-09-10,0533de7c5f,Meet,43.0,592.4425008767885,7.0
Male,2023-09-10,4c91ceb88a,Meet,39.0,609.6537745225804,8.0
Male,2023-09-10,d1538e7cd5,Meet,47.0,607.3489516272926,11.0
Male,2023-09-10,c2b18b8453,Meet,41.0,640.6800856375636,13.0
Male,2023-09-10,938e97e57c,Meet,50.0,667.6176722800127,13.0
Male,2023-09-10,203e54ad61,Meet,49.0,536.1922186833535,1.0
Male,2023-09-10,332fcbea15,Meet,51.0,555.9180902399748,4.0
Male,2023-09-10,a1013caf3a,Meet,49.0,559.2681128533103,5.0
Male,2023-09-10,68e106a8a9,Meet,50.0,563.7696092685858,5.0
Male,2023-09-10,ccb871ad98,Meet,41.0,560.0083022606042,7.0
Male,2023-09-10,3323edf69c,Meet,45.0,574.0003495276046,8.0
Male,2023-09-10,853a7d2934,Meet,52.0,588.7784553517539,8.0
Male,2023-09-10,90b32ed2ba,Meet,48.0,593.6274664885495,10.0
Male,2023-09-10,0533de7c5f,Meet,45.0,590.8055596426732,7.0
Male,2023-09-10,4c91ceb88a,Meet,43.0,608.7137710818382,12.0
Male,2023-09-10,d1538e7cd5,Meet,43.0,605.6725232954278,9.0
Male,2023-09-10,c2b18b8453,Meet,40.0,644.0809133462474,11.0
Male,2023-09-10,938e97e57c,Meet,48.0,667.6364956316824,14.0
Male,2023-09-23,203e54ad61,Meet,52.0,388.4566772232884,1.0
Male,2023-09-23,332fcbea15,Meet,52.0,388.2748595014164,2.0
Male,2023-09-23,a00ae8dfab,Meet,45.0,384.96447997809236,1.0
Male,2023-09-23,a1013caf3a,Meet,47.0,391.2696809809791,3.0
Male,2023-09-23,07a9c9b620,Meet,53.0,394.9020057650853,4.0
Male,2023-09-23,17b86ace57,Meet,53.0,395.363398827123,4.0
Male,2023-09-23,5c6a24ab02,Meet,48.0,407.0736595653727,5.0
Male,2023-09-23,19a4d45db2,Meet,42.0,407.9417818916227,6.0
Male,2023-09-23,443b967ba7,Meet,50.0,411.23559961540803,7.0
Male,2023-09-23,0533de7c5f,Meet,43.0,409.9254781403539,10.0
Male,2023-09-23,3323edf69c,Meet,47.0,417.46289806782073,13.0
Male,2023-09-23,4c91ceb88a,Meet,42.0,420.8305481742564,10.0
Male,2023-09-23,90b32ed2ba,Meet,47.0,429.9103686965038,14.0
Male,2023-09-23,da0e01d7c4,Meet,45.0,437.0026528152381,12.0
Male,2023-09-23,ccb871ad98,Meet,41.0,379.5734107503944,15.0
Male,2023-10-08,203e54ad61,Meet,50.0,379.30044012915937,1.0
Male,2023-10-08,332fcbea15,Meet,50.0,382.4506814814611,3.0
Male,2023-10-08,37a5bb30c5,Meet,52.0,396.35279612954974,4.0
Male,2023-10-08,3323edf69c,Meet,46.0,408.42455355177805,2.0
Male,2023-10-08,bfaf9848d0,Meet,40.0,407.86032020186605,3.0
Male,2023-10-08,a66347c007,Meet,37.0,410.6173625346491,4.0
Male,2023-10-08,ccb871ad98,Meet,40.0,411.127871647838,6.0
Male,2023-10-08,a1013caf3a,Meet,47.0,426.0079650573719,7.0
Male,2023-10-08,0533de7c5f,Meet,44.0,428.2782193250966,7.0
Male,2023-10-08,853a7d2934,Meet,47.0,437.3913010164845,8.0
Male,2023-10-08,443b967ba7,Meet,45.0,439.88884627028,10.0
Male,2023-10-08,d1538e7cd5,Meet,46.0,447.71170953693866,12.0
Male,2023-10-08,4c91ceb88a,Meet,42.0,447.8375386545186,11.0
Male,2023-10-08,17b86ace57,Meet,55.0,475.37108649181863,14.0
Male,2023-10-22,ccb871ad98,Meet,38.0,440.61039234121625,1.0
Male,2023-10-22,a66347c007,Meet,38.0,439.5234384065136,1.0
Male,2023-10-22,17b86ace57,Meet,59.0,438.3434751616719,1.0
Male,2023-10-22,bfaf9848d0,Meet,42.0,435.91098805908337,2.0
Male,2023-10-22,3323edf69c,Meet,48.0,455.16723933040646,7.0
Male,2023-10-22,443b967ba7,Meet,45.0,454.9135321434739,4.0
Male,2023-10-22,0533de7c5f,Meet,44.0,457.6265815022596,7.0
Male,2023-10-22,1a135f1fdb,Meet,46.0,462.5582994345066,6.0
Male,2023-10-22,4c91ceb88a,Meet,40.0,462.3748685551714,7.0
Male,2023-10-22,d1538e7cd5,Meet,49.0,467.6771202263317,9.0
Male,2023-10-22,90b32ed2ba,Meet,42.0,478.42234601260253,11.0
Male,2023-11-05,ccb871ad98,Meet,41.0,471.8392897587851,1.0
Male,2023-11-05,3323edf69c,Meet,49.0,477.0072369679401,3.0
Male,2023-11-05,443b967ba7,Meet,47.0,480.80007323223816,1.0
Male,2023-11-05,0533de7c5f,Meet,47.0,482.0683382697082,5.0
Male,2023-11-05,4c91ceb88a,Meet,43.0,497.31302534937873,5.0
Male,2023-11-05,1a135f1fdb,Meet,51.0,497.57088909748154,5.0
Male,2023-11-05,d1538e7cd5,Meet,48.0,496.89780534235473,7.0
Male,2023-11-19,203e54ad61,Meet,50.0,427.0243180766534,1.0
Male,2023-11-19,332fcbea15,Meet,50.0,425.35374100167195,2.0
Male,2023-11-19,a1013caf3a,Meet,45.0,429.7262533708771,4.0
Male,2023-11-19,a10773903f,Meet,40.0,435.5434695660797,5.0
Male,2023-11-19,ccb871ad98,Meet,39.0,441.9231490378785,4.0
Male,2023-11-19,17b86ace57,Meet,58.0,450.1898603956795,6.0
Male,2023-11-19,3323edf69c,Meet,46.0,463.7207930811109,5.0
Male,2023-11-19,d1538e7cd5,Meet,44.0,473.04400392216183,9.0
Male,2023-11-19,ca6871e2e1,Meet,46.0,477.5628438559343,10.0
Male,2023-11-19,0533de7c5f,Meet,45.0,489.3017338636077,10.0
Male,2023-11-19,4c91ceb88a,Meet,42.0,519.1023379744278,10.0
Male,2023-11-19,1a135f1fdb,Meet,46.0,482.54955069618245,10.0
Male,2024-09-08,332fcbea15,Meet,49.0,434.09490553045123,3.0
Male,2024-09-08,510fe459a8,Meet,50.0,447.3902365026351,2.0
Male,2024-09-08,ccb871ad98,Meet,44.0,452.4677110981894,4.0
Male,2024-09-08,6f0a0cb180,Meet,49.0,455.69734406653066,2.0
Male,2024-09-08,a66347c007,Meet,40.0,460.7559981028669,4.0
Male,2024-09-08,a1013caf3a,Meet,45.0,464.4813906103571,7.0
Male,2024-09-08,3323edf69c,Meet,46.0,468.5126262955514,9.0
Male,2024-09-08,37a5bb30c5,Meet,54.0,468.5421865917614,7.0
Male,2024-09-08,0729eed30d,Meet,45.0,472.3328802840386,9.0
Male,2024-09-08,e1d47fa6e6,Meet,45.0,477.4212402141703,11.0
Male,2024-09-08,97416bff22,Meet,54.0,478.61595140589776,13.0
Male,2024-09-08,17b86ace57,Meet,54.0,489.3763776035238,10.0
Male,2024-09-08,d1538e7cd5,Meet,47.0,489.9287531176438,15.0
Male,2024-09-08,59fda91659,Meet,44.0,492.5526080281468,12.0
Male,2024-09-08,0533de7c5f,Meet,50.0,500.53438462966204,16.0
Male,2024-09-08,fe4508b914,Meet,39.0,522.0771747984921,14.0
Male,2024-09-08,a00ae8dfab,Meet,43.0,450.39896156252786,18.0
Male,2024-09-08,4c91ceb88a,Meet,45.0,517.8164520423848,18.0
Male,2024-09-21,332fcbea15,Meet,52.0,345.3777348207189,1.0
Male,2024-09-21,ccb871ad98,Meet,44.0,351.0785070853694,1.0
Male,2024-09-21,203e54ad61,Meet,52.0,351.42737872612355,2.0
Male,2024-09-21,27aaaeae6b,Meet,47.0,356.39317024314073,6.0
Male,2024-09-21,a1013caf3a,Meet,47.0,352.8329510637597,3.0
